gar_bro_id,date,well,tube,screen_top_m,NO3,Cl,NH4
GAR000000004142,1951-08-01,GMW000000037630,5,-317.04,,212 mg/l,
GAR000000004143,1951-02-19,GMW000000037630,5,-317.04,0.0045 mg/l,204 mg/l,5.05 mg/l
GAR000000004144,1963-04-19,GMW000000037630,5,-317.04,0.0045 mg/l,175 mg/l,1.78 mg/l
GAR000000004145,1965-12-27,GMW000000037630,5,-317.04,0.0045 mg/l,192 mg/l,1.47 mg/l
GAR000000004146,1965-11-09,GMW000000037630,5,-317.04,0.0045 mg/l,193 mg/l,1.4 mg/l
GAR000000004147,1980-09-11,GMW000000037630,5,-317.04,0.02 mg/l,9 mg/l,0.17 mg/l
GAR000000004148,1990-11-15,GMW000000037630,5,-317.04,0.0045 mg/l,8 mg/l,0.15 mg/l
GAR000000004149,1997-10-03,GMW000000037630,5,-317.04,0.11 mg/l,12 mg/l,0.18 mg/l
GAR000000004566,1956-08-17,GMW000000037668,6,-297.05,0.0045 mg/l,39 mg/l,0.35 mg/l
GAR000000004567,1965-11-30,GMW000000037668,6,-297.05,0.0045 mg/l,55 mg/l,0.21 mg/l
GAR000000004568,1969-06-26,GMW000000037668,6,-297.05,0.0045 mg/l,61 mg/l,0.24 mg/l
GAR000000004569,2003-01-24,GMW000000037668,6,-297.05,0.11 mg/l,62 mg/l,0.28 mg/l
GAR000000004318,1994-11-28,GMW000000037610,8,-279.18,0.01 mg/l,415 mg/l,1.16 mg/l
GAR000000004319,1998-11-11,GMW000000037610,8,-279.18,0.11 mg/l,340 mg/l,1.4 mg/l
GAR000000004320,2015-10-06,GMW000000037610,8,-279.18,0.05 mg/l,440 mg/l,1.4 mg/l
